Common name,Latin Name,Origin,Planted Adapt Class,Natural Adapt Class1,Projected change: Tree Atlas,Heat/ Hardiness zone effect,Overall vulnerability,Confidence,
Pagoda dogwood,Cornus alternifolia,native,medium,medium,decrease,not evaluated,moderate,low,
Paper birch,Betula papyrifera,native,medium,n/a,not modeled,positive,high,high,
Peach,Prunus persica,nonnative,medium,low,not modeled,no effect,low-moderate,low,
Peachleaf willow,Salix amygdaloides,native,low,n/a,new habitat,not evaluated,moderate-high,low,
Pecan,Carya illinoinensis,native,low,n/a,not modeled,negative,moderate,medium,
Peking lilac,Syringa pekinensis,nonnative,high,high,increase,not evaluated,moderate,medium,
Pignut hickory,Carya glabra,native,medium,medium,not modeled,*,low-moderate,medium,
Pin cherry,Prunus pensylvanica,native,low,medium,increase,not evaluated,moderate-high,low,
Pin oak,Quercus palustris,native,medium,n/a,not modeled,*,low-moderate,medium,
Prairie Gem Ussurian pear,Pyrus ussuriensis 'Morton',cultivar,high,high,not modeled,no effect,low,low,
Prickly ash,Zanthoxylum americanum,native,low,high,not modeled,positive,low,low,
Privet,Ligustrum spp.,invasive,medium,n/a,not modeled,•                        low-moderate,,low,
Prospector Wilson elm,Ulmus wilsoniana 'Prospector',cultivar,medium,medium,not modeled,no effect,moderate,low,
Pussy willow,Salix discolor,native,low,medium,decrease,not evaluated,moderate,low,
Quaking aspen,Populus tremuloides,native,low,high,increase,not evaluated,high,high,
Red maple,Acer rubrum,native,medium,medium,increase,not evaluated,low-moderate,medium-high,
Red mulberry,Morus rubra,native,medium,n/a,decrease,not evaluated,low-moderate,medium-high,
Red pine,Pinus resinosa,native,low,medium,increase,not evaluated,high,high,
River birch,Betula nigra,native,medium,n/a,not modeled,*,low-moderate,medium-high,
Robusta poplar,Populus x canadensis 'Robusta',cultivar,medium,n/a,not modeled,positive,moderate,low,
Rose-of-Sharon,Hibiscus syriacus,nonnative,high,high,not modeled,no effect,low,low,
Russian-olive,Elaeagnus angustifolia,invasive,high,n/a,not modeled,no effect,low,low,
Sargent cherry,Prunus sargentii,cultivar,medium,n/a,increase,not evaluated,moderate,low,
Sassafras,Sassafras albidum,native,medium,n/a,not modeled,positive,low-moderate,medium-high,
Saucer magnolia,Magnolia x soulangeana,cultivar,high,high,decrease,not evaluated,low,low,
Scarlet oak,Quercus coccinea,native,high,n/a,not modeled,positive,moderate,low-medium,
Scholar tree,Sophora japonica,nonnative,high,n/a,not modeled,negative,low,low,
Scotch pine,Pinus sylvestris,nonnative,medium,n/a,not modeled,no effect,moderate-high,low,
Serbian spruce,Picea omorika,nonnative,medium,high,increase,not evaluated,moderate,low,
Shagbark hickory,Carya ovata,native,medium,n/a,not modeled,no effect,low-moderate,medium,
Shantung maple,Acer truncatum,nonnative,high,medium,increase,not evaluated,low,low,
Shellbark hickory,Carya laciniosa,native,low,medium,increase,not evaluated,moderate,low-medium,
Shingle oak,Quercus imbricaria,native,high,medium,not modeled,positive,low-moderate,medium,
Shumard oak,Quercus shumardii,native,high,high,not modeled,no effect,low-moderate,low,
Siberian elm,Ulmus pumila,invasive,medium,n/a,not modeled,•                        low-moderate,,low,
Silver linden,Tilia tomentosa,nonnative,medium,high,increase,not evaluated,moderate,low,
Silver maple,Acer saccharinum,native,medium,medium,increase,not evaluated,low-moderate,medium-high,
Slippery elm,Ulmus rubra,native,medium,n/a,not modeled,positive,low-moderate,medium-high,
Smoothleaf elm,Ulmus minor,nonnative,low,n/a,not modeled,positive,moderate,low,
Snow Goose cherry,Prunus 'Snow Goose',cultivar,high,high,not modeled,no effect,low,low,
Staghorn sumac,Rhus typhina,native,medium,n/a,not modeled,no effect,low-moderate,low,
Star magnolia,Magnolia stellata,nonnative,medium,high,mixed results,not evaluated,moderate,low,
Sugar maple,Acer saccharum,native,medium,n/a,new habitat,not evaluated,moderate,medium,
Sugarberry,Celtis laevigata,native,medium,n/a,not modeled,no effect,low-moderate,medium,
Swamp white oak,Quercus bicolor,native,high,n/a,increase,not evaluated,low-moderate,medium-high,
Sweetgum,Liquidambar styraciflua,native,medium,n/a,not modeled,positive,low-moderate,low-medium,
Sycamore maple,Acer pseudoplatanus,nonnative,medium,high,not modeled,positive,low-moderate,low,
Tree of heaven,Ailanthus altissima,invasive,high,n/a,not modeled,no effect,low,low,
